store_id,sku_id,starting_inventory,stockout_day,lead_time_days,days_to_stockout,stockout_risk,category,demand_std_dev
ST001,SKU0006,0,2026-01-03,1.9230769230769231,0,True,Dairy,5.936379494587538
ST001,SKU0021,0,2026-01-03,1.9230769230769231,0,True,Dairy,6.74207043751852
ST018,SKU0089,0,2026-01-03,4.684210526315789,0,True,Beverages,4.701690092329649
ST001,SKU0001,0,2026-01-03,6.5,0,True,PersonalCare,2.669210879041216
ST001,SKU0002,0,2026-01-03,7.166666666666667,0,True,HomeCare,2.7710235344672607
ST001,SKU0003,0,2026-01-03,4.1,0,True,Snacks,4.342986164156541
ST001,SKU0004,0,2026-01-03,4.1,0,True,Snacks,4.943730999000269
ST001,SKU0005,0,2026-01-03,4.684210526315789,0,True,Beverages,3.692945248921086
ST001,SKU0007,0,2026-01-03,1.9230769230769231,0,True,Dairy,6.990864070422757
ST001,SKU0018,0,2026-01-03,7.166666666666667,0,True,HomeCare,2.2116970882164364
ST001,SKU0009,0,2026-01-03,7.166666666666667,0,True,HomeCare,1.986798535597566
ST001,SKU0010,0,2026-01-03,7.166666666666667,0,True,HomeCare,2.7936555403620336
ST001,SKU0011,0,2026-01-03,4.684210526315789,0,True,Beverages,4.34983363263228
ST001,SKU0012,0,2026-01-03,1.9230769230769231,0,True,Dairy,5.644213218610974
ST001,SKU0013,0,2026-01-03,4.684210526315789,0,True,Beverages,4.029029995764107
ST001,SKU0014,0,2026-01-03,4.1,0,True,Snacks,6.822030507893276
ST001,SKU0015,0,2026-01-03,4.684210526315789,0,True,Beverages,4.784517113568
ST001,SKU0016,0,2026-01-03,4.1,0,True,Snacks,5.031168516518207
ST001,SKU0017,0,2026-01-03,4.684210526315789,0,True,Beverages,5.188791660612623
ST001,SKU0022,0,2026-01-03,4.1,0,True,Snacks,4.807249642239002
ST001,SKU0008,0,2026-01-03,4.684210526315789,0,True,Beverages,5.490136975524842
ST001,SKU0023,0,2026-01-03,1.9230769230769231,0,True,Dairy,6.230583876218704
ST001,SKU0035,0,2026-01-03,7.166666666666667,0,True,HomeCare,2.758559247652117
ST001,SKU0046,0,2026-01-03,4.684210526315789,0,True,Beverages,4.94138576039988
ST001,SKU0070,0,2026-01-03,6.5,0,True,PersonalCare,3.773755168287343
ST001,SKU0025,0,2026-01-03,4.684210526315789,0,True,Beverages,5.509788509875755
ST001,SKU0026,0,2026-01-03,7.166666666666667,0,True,HomeCare,2.487688986032633
ST001,SKU0027,0,2026-01-03,7.166666666666667,0,True,HomeCare,2.4822679418907105
ST001,SKU0028,0,2026-01-03,6.5,0,True,PersonalCare,3.839920242488335
