date,store_id,sku_id,day_of_week,holiday_flag,promo_flag,cat_Beverages,cat_Dairy,cat_Grocery,cat_HomeCare,cat_PersonalCare,cat_Snacks,is_weekend,starting_inventory,avg_28d_demand,forecast_units,lost_sales_units,stockout_flag,ROP,safety_stock,lead_time_days,ROQ,projected_inventory_with_repl,order_placed,arrival_qty,lost_sales_repl,stockout_flag_now,category,price,cost
2025-02-01,ST001,SKU0001,5,0,0,0,0,0,0,1,0,True,0.0,4.607142857142857,4.791004816003575,4.791004816003575,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,0.0,1,0.0,4.791004816003575,True,PersonalCare,392.55,269.72
2025-02-02,ST001,SKU0001,6,1,1,0,0,0,0,1,0,True,0.0,4.607142857142857,6.539333333333334,6.539333333333334,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,0.0,0,0.0,6.539333333333334,True,PersonalCare,392.55,269.72
2025-02-03,ST001,SKU0001,0,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.260777566196963,4.260777566196963,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,0.0,0,0.0,4.260777566196963,True,PersonalCare,392.55,269.72
2025-02-04,ST001,SKU0001,1,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.3293811284211055,4.3293811284211055,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,0.0,0,0.0,4.3293811284211055,True,PersonalCare,392.55,269.72
2025-02-05,ST001,SKU0001,2,0,1,0,0,0,0,1,0,False,0.0,4.607142857142857,4.658285714285716,4.658285714285716,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,19.842643020213025,1,24.500928734498743,0.0,False,PersonalCare,392.55,269.72
2025-02-06,ST001,SKU0001,3,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,3.9458003059948163,3.9458003059948163,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,15.89684271421821,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-07,ST001,SKU0001,4,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.632139129782663,4.632139129782663,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,11.264703584435546,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-08,ST001,SKU0001,5,0,0,0,0,0,0,1,0,True,0.0,4.607142857142857,4.791004816003575,4.791004816003575,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,6.473698768431971,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-09,ST001,SKU0001,6,1,0,0,0,0,0,1,0,True,0.0,4.607142857142857,5.735579365079365,5.735579365079365,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,25.23904813785135,0,24.500928734498743,0.0,False,PersonalCare,392.55,269.72
2025-02-10,ST001,SKU0001,0,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.260777566196963,4.260777566196963,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,20.978270571654384,1,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-11,ST001,SKU0001,1,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.3293811284211055,4.3293811284211055,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,16.64888944323328,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-12,ST001,SKU0001,2,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,5.638961891798258,5.638961891798258,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,11.009927551435023,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-13,ST001,SKU0001,3,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,3.9458003059948163,3.9458003059948163,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,7.064127245440207,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-14,ST001,SKU0001,4,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.632139129782663,4.632139129782663,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,26.93291685015629,0,24.500928734498743,0.0,False,PersonalCare,392.55,269.72
2025-02-15,ST001,SKU0001,5,0,1,0,0,0,0,1,0,True,0.0,4.607142857142857,6.178713980463981,6.178713980463981,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,20.754202869692307,1,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-16,ST001,SKU0001,6,1,0,0,0,0,0,1,0,True,0.0,4.607142857142857,5.735579365079365,5.735579365079365,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,15.018623504612941,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-17,ST001,SKU0001,0,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.260777566196963,4.260777566196963,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,10.75784593841598,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-18,ST001,SKU0001,1,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.3293811284211055,4.3293811284211055,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,6.428464809994874,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-19,ST001,SKU0001,2,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,5.638961891798258,5.638961891798258,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,25.29043165269536,0,24.500928734498743,0.0,False,PersonalCare,392.55,269.72
2025-02-20,ST001,SKU0001,3,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,3.9458003059948163,3.9458003059948163,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,21.344631346700545,1,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-21,ST001,SKU0001,4,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.632139129782663,4.632139129782663,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,16.71249221691788,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-22,ST001,SKU0001,5,0,0,0,0,0,0,1,0,True,0.0,4.607142857142857,4.791004816003575,4.791004816003575,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,11.921487400914305,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-23,ST001,SKU0001,6,1,0,0,0,0,0,1,0,True,0.0,4.607142857142857,5.735579365079365,5.735579365079365,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,6.18590803583494,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-24,ST001,SKU0001,0,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.260777566196963,4.260777566196963,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,26.42605920413672,0,24.500928734498743,0.0,False,PersonalCare,392.55,269.72
2025-02-25,ST001,SKU0001,1,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.3293811284211055,4.3293811284211055,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,22.096678075715616,1,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-26,ST001,SKU0001,2,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,5.638961891798258,5.638961891798258,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,16.45771618391736,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-27,ST001,SKU0001,3,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,3.9458003059948163,3.9458003059948163,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,12.511915877922544,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-28,ST001,SKU0001,4,0,0,0,0,0,0,1,0,False,0.0,4.607142857142857,4.632139129782663,4.632139129782663,True,24.500928734498743,8.300081789550166,4.439655172413793,24.500928734498743,7.87977674813988,0,0.0,0.0,False,PersonalCare,392.55,269.72
2025-02-01,ST001,SKU0002,5,0,0,0,0,0,1,0,0,True,0.0,3.892857142857143,4.101282086502079,4.101282086502079,True,25.96238694164891,8.20376625199374,4.439655172413793,25.96238694164892,0.0,1,0.0,4.101282086502079,True,HomeCare,372.13,210.62
2025-02-02,ST001,SKU0002,6,1,0,0,0,0,1,0,0,True,0.0,3.892857142857143,5.301042415917416,5.301042415917416,True,25.96238694164891,8.20376625199374,4.439655172413793,25.96238694164892,0.0,0,0.0,5.301042415917416,True,HomeCare,372.13,210.62
2025-02-03,ST001,SKU0002,0,0,0,0,0,0,1,0,0,False,0.0,3.892857142857143,2.8839729510278405,2.8839729510278405,True,25.96238694164891,8.20376625199374,4.439655172413793,25.96238694164892,0.0,0,0.0,2.8839729510278405,True,HomeCare,372.13,210.62
