date,store_id,sku_id,day_of_week,holiday_flag,promo_flag
01-02-2025,ST001,SKU0001,5,0,0
01-02-2025,ST001,SKU0002,5,0,0
01-02-2025,ST001,SKU0003,5,0,0
01-02-2025,ST001,SKU0004,5,0,0
01-02-2025,ST001,SKU0005,5,0,0
01-02-2025,ST001,SKU0006,5,0,0
01-02-2025,ST001,SKU0007,5,0,1
01-02-2025,ST001,SKU0008,5,0,0
01-02-2025,ST001,SKU0009,5,0,1
01-02-2025,ST001,SKU0010,5,0,0
01-02-2025,ST001,SKU0011,5,0,0
01-02-2025,ST001,SKU0012,5,0,0
01-02-2025,ST001,SKU0013,5,0,0
01-02-2025,ST001,SKU0014,5,0,0
01-02-2025,ST001,SKU0015,5,0,1
01-02-2025,ST001,SKU0016,5,0,0
01-02-2025,ST001,SKU0017,5,0,1
01-02-2025,ST001,SKU0018,5,0,1
01-02-2025,ST001,SKU0019,5,0,0
01-02-2025,ST001,SKU0020,5,0,0
01-02-2025,ST001,SKU0021,5,0,1
01-02-2025,ST001,SKU0022,5,0,0
01-02-2025,ST001,SKU0023,5,0,0
01-02-2025,ST001,SKU0024,5,0,1
01-02-2025,ST001,SKU0025,5,0,0
01-02-2025,ST001,SKU0026,5,0,1
01-02-2025,ST001,SKU0027,5,0,1
01-02-2025,ST001,SKU0028,5,0,1
01-02-2025,ST001,SKU0029,5,0,0
01-02-2025,ST001,SKU0030,5,0,0
01-02-2025,ST001,SKU0031,5,0,0
01-02-2025,ST001,SKU0032,5,0,1
01-02-2025,ST001,SKU0033,5,0,0
01-02-2025,ST001,SKU0034,5,0,0
01-02-2025,ST001,SKU0035,5,0,0
01-02-2025,ST001,SKU0036,5,0,1
01-02-2025,ST001,SKU0037,5,0,0
01-02-2025,ST001,SKU0038,5,0,0
01-02-2025,ST001,SKU0039,5,0,0
01-02-2025,ST001,SKU0040,5,0,0
01-02-2025,ST001,SKU0041,5,0,0
01-02-2025,ST001,SKU0042,5,0,1
01-02-2025,ST001,SKU0043,5,0,0
01-02-2025,ST001,SKU0044,5,0,0
01-02-2025,ST001,SKU0045,5,0,1
01-02-2025,ST001,SKU0046,5,0,0
01-02-2025,ST001,SKU0047,5,0,0
01-02-2025,ST001,SKU0048,5,0,1
01-02-2025,ST001,SKU0049,5,0,0
01-02-2025,ST001,SKU0050,5,0,0
01-02-2025,ST001,SKU0051,5,0,0
01-02-2025,ST001,SKU0052,5,0,1
01-02-2025,ST001,SKU0053,5,0,1
01-02-2025,ST001,SKU0054,5,0,0
01-02-2025,ST001,SKU0055,5,0,0
01-02-2025,ST001,SKU0056,5,0,0
01-02-2025,ST001,SKU0057,5,0,0
01-02-2025,ST001,SKU0058,5,0,0
01-02-2025,ST001,SKU0059,5,0,0
01-02-2025,ST001,SKU0060,5,0,1
01-02-2025,ST001,SKU0061,5,0,0
01-02-2025,ST001,SKU0062,5,0,0
01-02-2025,ST001,SKU0063,5,0,0
01-02-2025,ST001,SKU0064,5,0,1
01-02-2025,ST001,SKU0065,5,0,0
01-02-2025,ST001,SKU0066,5,0,1
01-02-2025,ST001,SKU0067,5,0,1
